Material Cost (R),Material Charges (R),Asset ID,Install Date,Asset MFG Date,In Service?,Model Number,Model Number MFG,Manufacturer ID
0,0,131028,10/22/2019,10/1/2014,TRUE,ENTERPRISE,9800,Arjo
21.04,24.2,13162,9/16/2022,9/1/2008,TRUE,SECURE,3002,Stryker
0,0,136900,1/29/2019,,TRUE,CENTRELLA,P7900B,HILL-ROM
0,0,19844,10/26/2022,,TRUE,SPIRIT SELECT,N3A02BCEFM,CHG
0,0,01303B,2/11/2021,,TRUE,GENERAL TRANSPORT,K516-001,MIDMARK
988.54,988.54,041133,11/30/2016,12/1/1998,TRUE,RENAISSANCE,1711,Stryker
0,0,29328,11/6/2022,7/1/2020,TRUE,PRIME ZOOM,1125,Stryker
0,0,85319,10/28/2019,10/1/2007,TRUE,M-SERIES,1015,Stryker
0,0,EE145384,2/14/2024,,TRUE,Procuity ZMX,,Stryker
0,0,MX2051292,12/4/2020,12/10/2019,TRUE,CENTRELLA,P7900B100242,HILL-ROM
0,0,0801 099418,4/10/2024,1/1/2008,TRUE,EYE SURGERY STRETCHER,1079,Stryker
0,0,EE144595,2/14/2024,,TRUE,Procuity,,Stryker
2277.55,2619.18,EE170572,7/25/2019,,TRUE,EVOLUTION,EVOLUTION,SIZEWISE
0,0,EE191246,1/5/2021,,TRUE,CENTRELLA,P7900,HILL-ROM
1034.83,1193.71,EE96482,5/13/2019,8/27/2009,TRUE,VERSACARE,P3200H000293,HILL-ROM
0,0,MX1993176,7/6/2023,,TRUE,EVOLUTION,33060400,SIZEWISE
669.66,681.78,EE45808,10/23/2015,9/26/2014,TRUE,PROGRESSA,P7500a000131,HILL-ROM
868.35,1082.88,MX1928283,7/11/2019,,TRUE,PROGRESSA,P7500A000554,HILL-ROM
0,0,8064,6/7/2016,,TRUE,UCXTBED,UCXTBED,JOERNS
110.17,126.7,130969,2/27/2020,9/1/2014,TRUE,ENTERPRISE,9800,Arjo
0,0,176851,4/8/2022,,TRUE,CENTRELLA,P7900B200467,HILL-ROM
31.68,39.6,EE110532,9/28/2019,,TRUE,VERSACARE,P3200,HILL-ROM
0,0,119241,11/18/2016,10/1/2013,TRUE,PRIME BIG WHEEL,1115,Stryker
15.72,18.08,30121,11/6/2022,7/1/2020,TRUE,BIRTHING BED,4701,Stryker
0,0,138429,10/31/2019,,TRUE,PROGRESSA,P7500A000912,HILL-ROM
0,0,1110001037,5/8/2019,,TRUE,BARI 10A,BARI 10A,JOERNS
0,0,MX1993186,7/6/2023,,TRUE,EVOLUTION,33060400,SIZEWISE
185.51,140.69,MX2052558,1/31/2020,12/19/2019,TRUE,CENTRELLA,P7900B100242,HILL-ROM
0,0,EE45655,10/23/2015,,TRUE,VERSACARE,P3200K000500,HILL-ROM
0,0,MX1700235,12/11/2019,11/1/2017,TRUE,S3 PATRIOT,3002S3,Stryker
0,0,130978,10/22/2019,10/1/2014,TRUE,ENTERPRISE,9800,Arjo
0,0,131318,11/1/2019,10/1/2014,TRUE,ENTERPRISE,9800,Arjo
523.73,652.32,136828,1/23/2019,10/30/2018,TRUE,CENTRELLA,P7900B,HILL-ROM
36.36,41.81,136913,1/28/2019,,TRUE,CENTRELLA,P7900B000010,HILL-ROM
0,0,176893,4/12/2022 5:25,,TRUE,CENTRELLA,P7900B200467,HILL-ROM
0,0,127120,11/21/2016,3/1/2016,TRUE,PRIME BIG WHEEL,1115,Stryker
0,0,32626,9/9/2022,,TRUE,PRIME ZOOM,1125-000-000E,Stryker
0,0,MX1949877,7/8/2019,,TRUE,PRIME ZOOM,1125,Stryker
0,0,EE145079,2/14/2024,,TRUE,Procuity,,Stryker
0,0,EE172573,7/25/2019,,TRUE,GO BED II,FL28,Stryker
0,0,MX2585021,11/18/2021,,TRUE,CENTRELLA,P7900,HILL-ROM
0,0,EE191903,1/6/2021,,TRUE,SECURE 2,S3001,Stryker
0,0,K240AD4974,4/5/2019,8/28/2009,TRUE,VERSACARE,P3200,HILL-ROM
0,0,MX1669613,12/10/2019,11/1/2017,TRUE,S3 PATRIOT,3002S3,Stryker
0,0,MX1669712,12/10/2019,11/1/2017,TRUE,S3 PATRIOT,3002S3,Stryker
27.83,32,19528,1/19/2023,3/1/2015,TRUE,PRIME ZOOM,1125,Stryker
404.33,464.99,136765,1/23/2019,,TRUE,AFFINITY 4,P3700E000010,HILL-ROM
0,0,8006,5/18/2016,,TRUE,UCXTBED,UCXTBED,JOERNS
0,0,131429,1/10/2020,10/1/2014,TRUE,ENTERPRISE,9800,Arjo
